No,入札方式,工種（業種）,資格点数,予定価格（税抜）,工事概要（業務概要）,発注機関,工事場所,指名業者・応札業者
143,総合評価,鋼構造物工事,840.0,149900000,,南信州地域振興局,阿智村,北沢建設（株）、神稲建設（株）、（株）小宮山土木
144,受注希望,とび・土工・コンクリート工事,756.0,非公開,橋梁補修工 橋面舗装工 床版防水工 伸縮装置取替工,飯田建設事務所,飯田市,
145,受注希望,とび・土工・コンクリート工事,756.0,非公開,橋梁補修工 伸縮継手工 橋面防水工 主桁補修工,飯田建設事務所,下伊那郡天龍村,
146,受注希望,土木一式工事,812.0,非公開,,南信州地域振興局,喬木村,
147,受注希望,土木一式工事,741.0,14360000,道路拡幅工 大型ブロック積工,飯田建設事務所,下伊那郡喬木村,（株）内山組、三建建設（有）、（有）今村工務所、野島建設（株）、（有）畑中工務所、（有）吉川建設工業、大平建設（株）
148,受注希望,土木一式工事,811.0,2590000,側溝整備工,飯田建設事務所,下伊那郡阿智村,（有）イチバ土木
149,受注希望,森林整備,590.0,6240000,,南信州地域振興局,阿智村,エレファントチーム、（有）北原土木、飯伊森林組合
150,受注希望,森林整備,,9090000,,南信州地域振興局,大鹿村,エレファントチーム、飯伊森林組合、（有）北原土木
151,受注希望,土木一式工事,812.0,38940000,渓間工 谷止工,南信州地域振興局,平谷村,三建建設（有）
152,受注希望,森林整備,745.0,8690000,伐木筋工,南信州地域振興局,根羽村,エレファントチーム、（有）北原土木
153,受注希望,土木一式工事,657.0,13560000,道路築造工,飯田建設事務所,長沢田村,太田土建（有）、（有）今村工務所、（有）北原土木、（株）内山組
154,受注希望,とび・土工・コンクリート工事,756.0,16310000,水抜きボーリング工 排水路工,南信州地域振興局,飯田市,古田工業（株）
155,受注希望,とび・土工・コンクリート工事,,5190000,伸縮継手修繕工,飯田建設事務所,下伊那郡喬木村,（有）神和創建、野島建設（株）
156,受注希望,土木一式工事,811.0,1770000,側溝整備工,飯田建設事務所,下伊那郡売木村,（有）イチバ土木
157,受注希望,とび・土工・コンクリート工事,,3740000,山腹工 コンクリート吹付工,南信州地域振興局,松川町,
158,総合評価,土木一式工事,812.0,非公開,谷止工 排水工,飯田建設事務所,飯田市,
159,受注希望,土木一式工事,812.0,非公開,床固工,南信州地域振興局,泰阜村,
160,受注希望,土木一式工事,657.0,非公開,水路補修工,南信州地域振興局,飯田市,
161,受注希望,とび・土工・コンクリート工事,756.0,16730000,落石防止工 固定工,南信州地域振興局,阿智村,南信土木建築（有）
162,受注希望,森林整備,,11410000,,南信州地域振興局,飯田市,エレファントチーム
163,受注希望,土木一式工事,812.0,非公開,山腹工 筋工 伏工,南信州地域振興局,飯田市,
164,受注希望,土木一式工事,812.0,43620000,道路拡幅工 型擁壁工,飯田建設事務所,下伊那郡泰阜村,（有）畑中工務所、太田土建（有）、阿智工務店（株）
165,受注希望,塗装工事,751.0,25400000,高欄塗装工,飯田建設事務所,下伊那郡松川町,大澤塗装工業（株）、安保塗装（株）、高田塗装（株）、進興エンジニアリング（株）、桜井塗装工業（株）、（株）小川原塗装店、信州建装（株）、（有）原塗装工業
166,参加希望,土木一式工事,811.0,非公開,山腹工 簡易土留工,南信州地域振興局,天龍村,
167,受注希望,とび・土工・コンクリート工事,756.0,非公開,橋梁修繕工 上部工,飯田建設事務所,下伊那郡阿南町,
168,受注希望,土木一式工事,,非公開,河畔林整備工 流出危険木伐採工,飯田建設事務所,飯田市,
169,総合評価,土木一式工事,812.0,非公開,渓間工 谷止工,南信州地域振興局,松川町,
170,受注希望,土木一式工事,812.0,40970000,谷止工,南信州地域振興局,阿智村,細澤建設（株）、南信土木建築（有）
171,受注希望,ほ装工事,825.0,17840000,舗装修繕工,飯田建設事務所,下伊那郡阿智村,南信土木建築（有）、金本建設（株）、神稲建設（株）、高本建設（株）、小木曽建設（株）
172,受注希望,土木一式工事,657.0,10270000,水路工,南信州地域振興局,下伊那郡阿智村,（有）北原土木
173,総合評価,土木一式工事,953.0,非公開,河川改修工 護岸工 付帯工 ボックスカルバート工,飯田建設事務所,飯田市,
174,受注希望,土木一式工事,812.0,非公開,道路土留工 大型ブロック積工 洗掘防止工 根継工,飯田建設事務所,下伊那郡阿南町,
175,参加希望,土木一式工事,811.0,非公開,水路工,南信州地域振興局,下伊那郡阿智村,
176,一般競争,電気通信工事,820.0,37570000,,飯田建設事務所,飯田建設事務所,丸登電業（株）
177,受注希望,ほ装工事,825.0,8980000,上町工 舗装修繕工 熊野工,飯田建設事務所,飯田市,小木曽建設（株）
178,受注希望,ほ装工事,825.0,8970000,舗装修繕工 オーバーレイ工 舗装打換工,飯田建設事務所,下伊那郡天龍村,小木曽建設（株）
179,受注希望,土木一式工事,657.0,7850000,旧道処理工,飯田建設事務所,上伊那郡中川村,シブキヤ建設（株）、（有）吉川建設工業
180,受注希望,とび・土工・コンクリート工事,,非公開,山腹工 コンクリート吹付工,南信州地域振興局,松川町,
181,総合評価,土木一式工事,953.0,267760000,道路築造工 軽量盛土工 舗装工,飯田建設事務所,上伊那郡中川村,木下建設（株）、北沢建設（株）、吉川建設（株）、（株）トライネット、（株）岡谷組
182,受注希望,土木一式工事,812.0,45570000,舗装工 踏掛版工 伸縮継手工,飯田建設事務所,飯田市,南信土木建築（有）
183,受注希望,土木一式工事,657.0,11310000,水路工,南信州地域振興局,下伊那郡松川町,（有）神和創建
184,受注希望,森林整備,,3320000,,南信州地域振興局,天龍村,飯伊森林組合、エレファントチーム
185,受注希望,土木一式工事,811.0,5080000,護岸工 コンクリートブロック積工,飯田建設事務所,飯田市,道栄建設（株）、（有）カスミ、（有）ヒラサワ
186,総合評価,土木一式工事,953.0,276610000,道路築造工 軽量盛土工 法面吹付工 舗装工,飯田建設事務所,上伊那郡中川村,木下建設（株）、北沢建設（株）、（株）岡谷組、吉川建設（株）、（株）トライネット
187,総合評価,土木一式工事,812.0,33180000,河川付替工 ボックスカルバート工 水路工,飯田建設事務所,飯田市,高本建設（株）
188,受注希望,塗装工事,840.0,34390000,鋼構造物塗装工,南信州地域振興局,下伊那郡豊丘村,進興エンジニアリング（株）
189,一般競争,電気通信工事,820.0,17250000,,飯田建設事務所,飯田建設事務所,丸登電業（株）
190,総合評価,土木一式工事,812.0,45020000,道路工 水路工 暗渠排水工 流用土受入地整地工,南信州地域振興局,下伊那郡高森町,（株）内山組、神稲建設（株）
191,総合評価,土木一式工事,953.0,147070000,橋梁上部工,南信州地域振興局,下伊那郡阿智村,昭和コンクリート工業（株）松本営業所、神稲建設（株）、北沢建設（株）
192,参加希望,土木一式工事,811.0,非公開,山腹工 土留工,南信州地域振興局,下條村,
193,参加希望,土木一式工事,811.0,非公開,渓間工 床固工,南信州地域振興局,阿智村,
194,参加希望,土木一式工事,811.0,非公開,山腹工 丸太柵工 丸太筋工 伏工,南信州地域振興局,高森町,
195,受注希望,建築一式工事,665.0,13050000,弓道場シャッター改修工,飯田建設事務所,飯田市,伊賀良建設（株）
196,受注希望,土木一式工事,741.0,非公開,護岸工 ブロック張工 小口止工 雑工 じゃかご工,飯田建設事務所,下伊那郡売木村,
197,一般競争,電気通信工事,820.0,26740000,,飯田建設事務所,駒場,（株）アイネット
198,受注希望,とび・土工・コンクリート工事,756.0,22850000,トンネル修繕工 巻立補強工,飯田建設事務所,下伊那郡下條村,（株）パテック
199,総合評価,土木一式工事,,1973680000,トンネル工,飯田建設事務所,下伊那郡下條村,吉川・神稲特定建設工事共同企業体、岡谷組・浅川建設工業特定建設工事共同企業体、佐藤・木下特定建設工事共同企業体、大成・小木曽特定建設工事共同企業体
200,受注希望,土木一式工事,953.0,85250000,函渠工,飯田建設事務所,飯田市,（株）下平組、（株）カリス、木下建設（株）、（株）三六組、神稲建設（株）、北沢建設（株）
201,受注希望,とび・土工・コンクリート工事,756.0,11390000,防護柵設置工,飯田建設事務所,下伊那郡豊丘村,（有）尾畑組、（有）清水建材工業
202,受注希望,土木一式工事,812.0,30760000,道路拡幅工,飯田建設事務所,飯田市,（有）新井工務店、（株）下平組、（株）カリス、神稲建設（株）、（有）畑中工務所、（株）パテック、クラウニング（株）、（有）雄長組
